Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Unité;Unité;Cde_Domaine;Domaine;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AUT;Autriche;Accessibilité financière du logement;Accessibilité financière du logement;PT_B7G_S14;Pourcentage du revenu disponible brut ajusté des ménages;HSL_3;Logement;80,5478900496;80,2863387642;80,5407381449;80,9183867474;80,7264356056;80,6919805343;80,1800346659;79,6906692922;79,8114982411;79,2066632087;79,2580931766;79,2105374973;79,3050425241;79,1502390374;79,3418907548;79,2029613777;78,7387693976;78,9233010387;79,3847865597;79,3365485262;80,3947137812;
AUT;Autriche;Espérance de vie à la naissance;Espérance de vie à la naissance;Y;Années;HSL_5;Santé;79,3000000000;79,5000000000;80,1000000000;80,3000000000;80,6000000000;80,5000000000;80,7000000000;81,1000000000;81,1000000000;81,3000000000;81,6000000000;81,3000000000;81,8000000000;81,7000000000;81,8000000000;82,0000000000;81,3000000000;81,3000000000;81,4000000000;81,9000000000;;
AUT;Autriche;Décès dus au suicide, à l’alcool ou à la drogue;Décès dus au suicide, à l’alcool ou à la drogue;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_5;Santé;28,2979850922;27,8040978906;26,6944165335;27,6898711764;24,9216996680;25,1639393498;24,4961583612;24,6520850570;23,6906515130;22,3272514253;22,8449746749;22,0417622628;20,6180551600;20,2310478207;19,7573719442;18,8554621954;18,3727486609;18,1980805055;20,3222918380;20,5235034913;;
AUT;Autriche;Mortalité routière;Mortalité routière;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_10;Sécurité;10,7440486200;9,3341755160;8,8285366360;8,3298304250;8,1595905350;7,5869051220;6,6001833700;6,2323909630;6,2989391090;5,3656780340;5,0313841360;5,5422501700;4,9446768490;4,7058470490;4,6264241670;4,6847268890;3,8578585480;4,0420746470;4,0920824730;4,4019178780;;
AUT;Autriche;Homicides;Homicides;DT_10P5HB;Décès pour 100 000 d'habitants;HSL_10;Sécurité;0,8000000000;0,8000000000;0,8000000000;0,6000000000;0,6000000000;0,7000000000;0,5000000000;0,5000000000;0,4000000000;0,4000000000;0,4000000000;0,6000000000;0,5000000000;0,5000000000;0,6000000000;0,5000000000;0,4000000000;0,4000000000;0,4000000000;0,6000000000;;
AUT;Autriche;Exposition à la pollution de l’air;Exposition à la pollution de l’air;PT_POP;Pourcentage de la population;HSL_9;Qualité environnementale;99,9989930000;99,9990080000;99,9990160000;99,9990230000;99,9990310000;99,9990390000;99,9990460000;99,9990540000;99,9990690000;99,9990770000;99,9990920000;99,9991000000;99,9991070000;99,9866640000;99,9867550000;99,9863360000;99,9863130000;;;;;
AUT;Autriche;Exposition à des températures extrêmes;Exposition à des températures extrêmes;PT_POP;Pourcentage de la population;HSL_9;Qualité environnementale;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1,3420495716;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;;
AUT;Autriche;Incapacité à maintenir le logement à bonne température;Incapacité à maintenir le logement à bonne température;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_3;Logement;2,3000000000;3,2000000000;3,8000000000;2,6000000000;3,9000000000;2,9000000000;3,8000000000;2,7000000000;3,2000000000;2,7000000000;3,2000000000;2,6000000000;2,7000000000;2,4000000000;1,6000000000;1,8000000000;1,5000000000;1,7000000000;2,7000000000;3,9000000000;4,0000000000;
AUT;Autriche;Difficultés à joindre les deux bouts;Difficultés à joindre les deux bouts;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_1;Revenu et patrimoine;10,7000000000;9,6000000000;7,8000000000;10,9000000000;14,0000000000;15,4000000000;14,4000000000;14,4000000000;14,0000000000;14,0000000000;14,9000000000;13,4000000000;12,8000000000;11,5000000000;11,3000000000;10,7000000000;9,4000000000;10,1000000000;11,9000000000;13,6000000000;13,1000000000;
AUT;Autriche;État de santé perçu comme bon;État de santé perçu comme bon;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_5;Santé;71,2000000000;71,7000000000;72,0000000000;72,3000000000;70,0000000000;70,0000000000;69,5000000000;68,7000000000;70,0000000000;68,6000000000;69,5000000000;69,8000000000;70,2000000000;70,3000000000;71,7000000000;71,2000000000;74,0000000000;72,2000000000;70,1000000000;69,2000000000;67,7000000000;
AUT;Autriche;État de santé perçu comme mauvais;État de santé perçu comme mauvais;PT_POP_Y_GE16;Pourcentage de la population âgée de 16 ans ou plus;HSL_5;Santé;8,6000000000;8,3000000000;7,8000000000;8,4000000000;8,9000000000;8,7000000000;9,3000000000;9,5000000000;9,0000000000;9,1000000000;8,9000000000;8,8000000000;8,1000000000;8,0000000000;8,1000000000;7,8000000000;7,5000000000;7,4000000000;8,5000000000;8,2000000000;8,4000000000;
AUT;Autriche;Salariés à temps plein dont la rémunération est inférieure à deux tiers du salaire brut médian;Salariés à temps plein dont la rémunération est inférieure à deux tiers du salaire brut médian;PT_SAL_FT;Pourcentage de salariés à plein temps;HSL_2;Travail et qualité de l'emploi;15,1530881500;15,2759616400;15,7899150600;16,1934824800;15,8655557900;16,0218085000;16,4701128000;16,0763005800;16,0727266800;15,8536380500;15,8869886900;15,8611061700;15,4306909800;15,1370649100;14,9266828200;14,7446410900;14,6743424200;14,9569576900;14,3600000000;14,2637347700;;
