Cde_Opération;Opération;Cde_Dépense;Dépense;Cde_Pays;Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OTE;Total des dépenses des administrations publiques (*);GF01;01 - Services généraux des administrations publiques;FRA;France;101,098;106,398;114,671;113,368;114,697;118,970;121,480;123,534;122,359;126,411;131,094;130,204;137,333;145,096;144,946;146,048;151,646;155,457;153,608;149,560;145,578;144,288;149,870;146,092;145,858;140,897;152,710;173,222;174,764;181,103
OTE;Total des dépenses des administrations publiques (*);GF0101;01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères;FRA;France;22,262;23,060;24,420;25,392;25,673;26,644;26,969;28,055;29,202;28,408;31,000;30,641;30,906;32,171;36,446;35,071;35,201;36,580;39,312;36,412;36,685;37,392;42,360;37,913;39,364;43,463;46,528;44,493;45,260;42,818
OTE;Total des dépenses des administrations publiques (*);GF0102;01.2 - Aide économique extérieure;FRA;France;1,398;1,443;1,526;1,703;1,717;2,256;2,485;2,793;2,963;2,957;3,244;2,916;3,041;3,185;3,310;4,091;3,934;5,228;4,603;5,081;3,864;3,181;4,421;4,078;5,721;4,374;5,325;7,866;5,884;4,881
OTE;Total des dépenses des administrations publiques (*);GF0103;01.3 - Services généraux;FRA;France;23,289;24,257;30,545;28,116;30,742;32,319;31,396;30,595;28,684;32,272;32,847;34,050;36,887;38,446;39,424;36,319;36,480;39,247;39,215;39,062;39,410;40,504;41,170;41,865;43,143;43,288;45,342;48,757;51,777;53,780
OTE;Total des dépenses des administrations publiques (*);GF0104;01.4 - Recherche fondamentale;FRA;France;9,668;9,922;10,288;10,242;10,489;10,854;10,801;11,542;12,701;12,639;13,186;12,046;12,473;12,536;13,424;15,107;15,792;15,471;15,698;15,610;15,999;15,838;16,170;16,408;16,928;16,222;16,967;18,116;19,477;19,881
OTE;Total des dépenses des administrations publiques (*);GF0105;01.5 - R & D concernant les services généraux des administrations publiques;FRA;France;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,001;0,002;0,001;0,003;0,003;0,002;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,001;0,001;0,000;0,003;0,005;0,003;0,003;0,006
OTE;Total des dépenses des administrations publiques (*);GF0106;01.6 - Services généraux des administrations publiques n.c.a.;FRA;France;0,557;0,572;0,597;0,617;0,660;0,715;0,701;0,704;0,712;0,746;0,776;0,788;0,861;0,901;0,988;1,067;1,238;1,074;2,010;1,977;0,773;0,630;0,769;0,606;0,675;0,635;0,804;0,964;0,657;0,867
OTE;Total des dépenses des administrations publiques (*);GF0107;01.7 - Opérations concernant la dette publique;FRA;France;43,924;47,142;47,294;47,298;45,415;46,182;49,128;49,845;48,095;49,389;50,038;49,763;53,162;57,855;51,353;54,392;59,002;57,858;52,771;51,418;48,848;46,742;44,980;45,222;40,027;32,912;37,739;53,023;51,706;58,870
OTE;Total des dépenses des administrations publiques (*);GF0108;01.8 - Transferts de caractère général entre administrations publiques;FRA;France;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
OTE;Total des dépenses des administrations publiques (*);GF02;02 - Défense;FRA;France;29,851;31,472;29,570;27,372;27,641;27,817;30,657;31,030;28,658;30,008;31,865;33,862;34,121;35,909;37,315;39,359;36,690;37,478;37,830;35,974;37,972;43,660;40,108;41,288;41,888;43,283;43,309;47,675;51,180;54,199
