Cde_Pays;Pays;Cde_Dépense;Dépense;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
HRV;Croatie;GF0204;R et D concernant la défense;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,051750;0,048490;
HRV;Croatie;GF0703;Services hospitaliers;0,889070;0,979640;1,099370;1,176780;1,297700;1,445730;1,440320;1,461520;1,550490;1,509710;1,524420;1,447220;1,507520;1,603140;1,618200;1,783820;1,992660;2,207730;2,470960;2,740160;2,928870;3,579900;
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;0,003290;0,003820;0,004140;0,006440;0,009120;0,009660;0,012330;0,009970;0,015570;0,006980;0,010160;0,007250;0,007180;0,005590;0,005020;0,004670;0,005350;0,005540;0,006450;0,006550;0,010880;0,018900;
HRV;Croatie;GF0201;Défense militaire;0,396960;0,417190;0,520260;0,453310;0,478200;0,527470;0,672680;0,619040;0,565310;0,610880;0,605270;0,561810;0,547160;0,530870;0,520920;0,522210;0,572520;0,577260;0,556200;0,579430;0,628140;0,975410;
HRV;Croatie;GF0107;Opérations concernant la dette publique;0,511440;0,563230;0,651300;0,699650;0,734860;0,802840;0,909760;1,023950;1,115520;1,374630;1,497990;1,558910;1,741000;1,788740;1,706770;1,561270;1,391120;1,375240;1,159960;1,032740;1,022110;1,354100;
HRV;Croatie;GF0705;RetD dans le domaine de la santé;0,023420;0,028990;0,029790;0,031190;0,027970;0,031940;0,035790;0,033830;0,034290;0,026100;0,025350;0,021250;0,022750;0,024970;0,025910;0,033540;0,050150;0,057850;0,066580;0,076490;0,098380;0,099270;
HRV;Croatie;GF02;Défense nationale;0,414660;0,434480;0,540280;0,474700;0,501530;0,556210;0,703740;0,658080;0,600150;0,637070;0,638620;0,595660;0,554530;0,536980;0,526420;0,522210;0,572520;0,577260;0,556200;0,579430;0,679880;1,023900;
HRV;Croatie;GF0403;Combustibles et énergie;0,010740;0,009510;0,008120;0,011400;0,010600;0,010640;0,018670;0,013920;0,014150;0,038970;0,070590;0,220030;0,126980;0,179730;0,215800;0,185670;0,205510;0,309450;0,360710;0,227700;1,274070;0,948400;
HRV;Croatie;GF1005;Chômage;0,183480;0,183370;0,179180;0,183030;0,198220;0,208760;0,227060;0,231680;0,239290;0,240830;0,241010;0,250900;0,241950;0,254450;0,252530;0,226810;0,205060;0,210840;0,283670;0,212230;0,188740;0,182480;
HRV;Croatie;GF0405;Transports;1,345640;1,937470;1,999080;1,780380;1,740270;2,536330;2,665310;2,552500;1,924930;1,651480;1,645740;1,750410;1,661250;1,453700;1,336350;1,280470;1,582500;1,787880;1,975480;1,926720;2,052650;2,550370;
HRV;Croatie;GF0304;Administration pénitentiaire;0,044170;0,045270;0,048540;0,051480;0,054600;0,062600;0,066280;0,068710;0,069460;0,070360;0,068420;0,064850;0,052560;0,047210;0,058580;0,060760;0,063150;0,065580;0,066390;0,075600;0,079530;0,094840;
HRV;Croatie;GF0103;Services généraux;0,124820;0,136120;0,139240;0,129770;0,155720;0,180340;0,209700;0,197330;0,169540;0,201200;0,221710;0,183000;0,146370;0,154920;0,175670;0,158730;0,163950;0,180590;0,172100;0,175340;0,188020;0,216370;
HRV;Croatie;GF0604;Éclairage public;0,022370;0,027460;0,028370;0,040450;0,071650;0,075390;0,098900;0,116720;0,105770;0,075090;0,092250;0,068780;0,065930;0,057980;0,056300;0,053710;0,056750;0,063590;0,065730;0,066580;0,069270;0,090420;
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;0,038020;0,027290;0,026740;0,028430;0,030860;0,037120;0,040210;0,040820;0,049040;0,039240;0,037300;0,033400;0,034660;0,035670;0,041480;0,003340;0,003130;0,003280;0,022170;0,054990;0,057910;0,120860;
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;0,000300;0,000320;0,000330;0,000330;0,000310;0,000340;0,000270;0,000540;0,000340;0,000330;0,000330;0,000340;0,000350;0,000340;0,000340;0,000820;0,000480;0,000480;0,000500;0,000530;0,000430;0,000520;
HRV;Croatie;GF09;Enseignement;1,777710;1,887230;1,927940;2,006710;2,028950;2,228900;2,267680;2,452030;2,352860;2,313360;2,303520;2,272980;2,341700;2,281750;2,305610;2,403940;2,490750;2,848060;2,903270;3,138700;3,388910;4,111530;
HRV;Croatie;GF1006;Logement;0,032160;0,035420;0,034520;0,032640;0,033590;0,029240;0,029970;0,039630;0,044640;0,042170;0,042500;0,042610;0,057220;0,056820;0,026120;0,014200;0,019470;0,019800;0,020620;0,021970;0,064630;0,128020;
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;0,010970;0,013980;0,012880;0,017770;0,017150;0,015980;0,015200;0,019800;0,018620;0,011380;0,010210;0,013020;0,011570;0,006010;0,006430;0,008200;0,009020;0,010180;0,010600;0,008310;0,007940;0,010860;
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;0,029290;0,034440;0,042370;0,045640;0,046430;0,046190;0,051540;0,048150;0,041470;0,041600;0,032460;0,035110;0,037370;0,029510;0,028540;0,022270;0,027280;0,031790;0,031780;0,030440;0,026140;0,034540;
HRV;Croatie;GF0501;Gestion des déchets;0,024020;0,088890;0,093160;0,101770;0,101670;0,125260;0,142990;0,135470;0,135770;0,134050;0,142200;0,130850;0,157580;0,142280;0,137390;0,128820;0,154970;0,164690;0,179360;0,208980;0,197590;0,247370;
HRV;Croatie;GF0602;Équipements collectifs;0,150880;0,199640;0,185640;0,220510;0,179730;0,273630;0,341460;0,302770;0,233710;0,291020;0,336360;0,350660;0,346420;0,347650;0,357010;0,319410;0,239690;0,255440;0,250600;0,294070;0,323610;0,409970;
HRV;Croatie;GF0801;Services récréatifs et sportifs;0,089810;0,139750;0,145310;0,174600;0,193430;0,233820;0,245100;0,283020;0,255990;0,249180;0,260610;0,258820;0,262020;0,263490;0,227440;0,192420;0,199000;0,232140;0,234830;0,237860;0,257900;0,323850;
HRV;Croatie;GF0704;Services de santé publique;0,078840;0,084010;0,086850;0,097830;0,097500;0,099830;0,094910;0,098370;0,108350;0,116850;0,107890;0,100850;0,098200;0,135320;0,121160;0,114000;0,188300;0,210490;0,275010;0,416600;0,476160;0,445800;
HRV;Croatie;GF08;Loisirs, culture et cultes;0,444970;0,588720;0,612690;0,686420;0,703420;0,881370;0,937990;0,981150;0,916510;0,916510;0,920650;0,881350;0,895010;0,853400;0,799380;0,814900;0,867700;0,967570;0,996580;1,028910;1,087160;1,545860;
HRV;Croatie;GF0702;Services ambulatoires;0,383400;0,435120;0,490200;0,511520;0,526650;0,552010;0,539680;0,577730;0,563280;0,578700;0,589750;0,610390;0,601080;0,668580;0,658220;0,699500;0,679250;0,738140;0,782870;0,789270;0,824500;0,952850;
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;0,103970;0,095120;0,113130;0,120780;0,120830;0,143470;0,158680;0,151830;0,162550;0,173680;0,181100;0,150150;0,156870;0,161140;0,167870;0,166040;0,166580;0,168780;0,174950;0,193430;0,194690;0,202010;
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;0,286980;0,316650;0,370760;0,397340;0,409370;0,482790;0,605060;0,604470;0,653990;0,604700;0,515210;0,425030;0,358560;0,383240;0,366280;0,353430;0,342240;0,356760;0,382080;0,325700;0,296780;0,376750;
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;0,000920;0,001000;0,001150;0,001190;0,001070;0,001290;0,001340;0,001400;0,001400;0,001030;0,000980;0,001030;0,000910;0,000910;0,000760;0,000000;0,001340;0,001100;0,001990;0,007160;0,009450;0,009520;
