Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
D995;Transferts en capital des administrations publiques vers les secteurs concernés correspondant à des impôts et contributions sociales notifiés mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122F;Bénéfices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995FS;Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59A;Impôts courants sur le capital;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,88;22,95;22,85;23,61;32,51
D995G;Impôts en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995D;Autres impôts courants dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59E;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C1;Impôts sur les gains de détention des personnes physiques ou des ménages;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995F;Cotisations sociales effectives à la charge des ménages dues non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122D;Impôts généraux sur les ventes;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D61SC;Rémunération du service des régimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995FE;Cotisations sociales effectives à la charge des salariés dues non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D59C;Impôts sur la dépense;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C2;Impôts sur les gains de détention des sociétés;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D91C;Autres impôts en capital n.c.a.;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29D;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D51C3;Autres impôts sur les gains de détention n.c.a.;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995FN;Cotisations sociales effectives à la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D6142;Suppléments de cotisations autres que de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995B;Autres impôts sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D995C;Impôts sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122B;Montants compensatoires monétaires prélevés à l'importation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29F;Impôts sur les émissions polluantes;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,18;5,42;3,28;18,36;55,75;53,34;78,60;59,46;79,43;210,37;183,83;184,22;310,95;381,69;438,42
D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D2122A;Prélèvements sur les produits agricoles importés;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D29B;Impôts sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
D614;Suppléments de cotisations sociales à la charge des ménages;AUT;Autriche;EUR;Euro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
