Cde_Pays;Mesure;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AUT;Total;8080292,0;8114402,0;8166432,0;8222090,0;8265675;8293654,0;8319388,0;8338752,0;8357367;8384901,0;8420328,0;8472176,0;8538350,0;8618709,0;8737663,0;8790624,0;8833192,0;8872344,0;8912293,0;8945279,0;9058407,0;9125730,0;9174908
AUT;Femmes;4161549,0;4175339,0;4199831,0;4224101,0;4243724;4257489,0;4270076,0;4278322,0;4287120;4299237,0;4313398,0;4335521,0;4364420,0;4395426,0;4442720,0;4467649,0;4488128,0;4507152,0;4526095,0;4540354,0;4600964,0;4627659,0;4651815
AUT;Hommes;3918743,0;3939063,0;3966601,0;3997989,0;4021951;4036165,0;4049312,0;4060430,0;4070247;4085664,0;4106930,0;4136655,0;4173930,0;4223283,0;4294943,0;4322975,0;4345064,0;4365192,0;4386198,0;4404925,0;4457443,0;4498071,0;4523093
BEL;Total;10332786,0;10376131,0;10421136,0;10478620,0;10547956;10624835,0;10709108,0;10796498,0;10895591;10993609,0;11067748,0;11125033,0;11179778,0;11238474,0;11295003,0;11349081,0;11403740,0;11462023,0;11506938,0;11552615,0;11640788,0;11730606,0;11794601
BEL;Femmes;5278201,0;5299099,0;5321888,0;5351045,0;5385342;5422631,0;5463280,0;5506059,0;5554362;5601588,0;5637105,0;5664133,0;5690077,0;5717162,0;5742234,0;5766124,0;5790674,0;5817880,0;5838303,0;5859562,0;5905629,0;5951285,0;5980979
BEL;Hommes;5054585,0;5077032,0;5099248,0;5127575,0;5162614;5202204,0;5245828,0;5290439,0;5341229;5392021,0;5430643,0;5460900,0;5489701,0;5521312,0;5552769,0;5582957,0;5613066,0;5644143,0;5668635,0;5693053,0;5735159,0;5779321,0;5813622
DEU;Total;82488493,0;82534175,0;82516268,0;82469421,0;82376447;82266373,0;82110097,0;81902308,0;81776936;80274981,0;80425826,0;80645605,0;80982495,0;81686608,0;82348669,0;82657000,0;82905788,0;83092956,0;83160877,0;83196076,0;83797987,0;83287281,0;83620575
DEU;Femmes;42178716,0;42183725,0;42161445,0;42122629,0;42055883;41978642,0;41880811,0;41758360,0;41668915;41097710,0;41120365,0;41176655,0;41286307,0;41511818,0;41743046,0;41886659,0;42000654,0;42090809,0;42128808,0;42149424,0;42485067,0;42246460,0;42339093
DEU;Hommes;40309777,0;40350450,0;40354823,0;40346792,0;40320564;40287731,0;40229286,0;40143948,0;40108021;39177271,0;39305461,0;39468950,0;39696188,0;40174790,0;40605623,0;40770341,0;40905134,0;41002147,0;41032069,0;41046652,0;41312920,0;41040821,0;41281482
ESP;Total;41423520,0;42196231,0;42859172,0;43662613,0;44360521;45236004,0;45983169,0;46367550,0;46562483;46736257,0;46749303,0;46581124,0;46433050,0;46384379,0;46427100,0;46510461,0;46715383,0;47087778,0;47344852,0;47346836,0;47781354,0;48320520,0;48807137
ESP;Femmes;21096666,0;21458232,0;21766121,0;22120648,0;22459813;22873931,0;23226305,0;23433048,0;23553902;23662983,0;23700373,0;23648876,0;23597473,0;23586945,0;23622448,0;23678767,0;23794728,0;23986952,0;24121834,0;24123446,0;24359429,0;24638589,0;24878803
ESP;Hommes;20326854,0;20737999,0;21093052,0;21541965,0;21900709;22362074,0;22756864,0;22934502,0;23008580;23073274,0;23048930,0;22932248,0;22835577,0;22797434,0;22804652,0;22831694,0;22920655,0;23100826,0;23223018,0;23223390,0;23421925,0;23681931,0;23928334
EST;Total;1379350,0;1370720,0;1362550,0;1354775,0;1346810;1340680,0;1337090,0;1334515,0;1331475;1327439,0;1322696,0;1317997,0;1314545,0;1314608,0;1315790,0;1317384,0;1321977,0;1326855,0;1329479,0;1330932,0;1348840,0;1370286,0;1372341
EST;Femmes;737205,0;733000,0;728970,0;724955,0;720715;717525,0;715405,0;713455,0;711225;708520,0;705543,0;702454,0;699891,0;699059,0;698667,0;698073,0;698617,0;699414,0;699398,0;698767,0;708449,0;720796,0;721658
EST;Hommes;642145,0;637720,0;633580,0;629820,0;626095;623155,0;621685,0;621060,0;620250;618919,0;617153,0;615543,0;614654,0;615549,0;617123,0;619311,0;623360,0;627441,0;630081,0;632165,0;640391,0;649490,0;650683
FIN;Total;5200598,0;5213010,0;5228173,0;5246100,0;5266266;5288719,0;5313398,0;5338867,0;5363341;5388272,0;5413967,0;5438975,0;5461507,0;5479528,0;5495297,0;5508209,0;5515525,0;5521605,0;5529545,0;5541020,0;5556108,0;5583901,0;5619914
FIN;Femmes;2659341,0;2664106,0;2670685,0;2678886,0;2688223;2698451,0;2709177,0;2720512,0;2731604;2742799,0;2754391,0;2765478,0;2775397,0;2782852,0;2788392,0;2792482,0;2794313,0;2795830,0;2798508,0;2802563,0;2807818,0;2820218,0;2837576
FIN;Hommes;2541257,0;2548904,0;2557488,0;2567214,0;2578043;2590268,0;2604221,0;2618355,0;2631737;2645473,0;2659576,0;2673497,0;2686110,0;2696676,0;2706905,0;2715727,0;2721212,0;2725775,0;2731037,0;2738457,0;2748290,0;2763683,0;2782338
FRA;Total;61604550,0;62037544,0;62490800,0;62958328,0;63393406;63781275,0;64133174,0;64458715,0;64773169;65087317,0;65402998,0;65735961,0;66276671,0;66512558,0;66688563,0;66883314,0;67125071,0;67349922,0;67569466,0;67878650,0;68153150,0;68341348,0;68521113
FRA;Femmes;31746213,0;31982904,0;32232036,0;32490510,0;32717508;32911253,0;33091110,0;33256028,0;33412925;33572806,0;33731249,0;33898446,0;34184117,0;34319022,0;34424889,0;34535809,0;34658234,0;34767060,0;34871021,0;35011264,0;35132417,0;35213643,0;35290689
FRA;Hommes;29858337,0;30054640,0;30258764,0;30467818,0;30675898;30870022,0;31042064,0;31202687,0;31360244;31514511,0;31671749,0;31837515,0;32092554,0;32193536,0;32263674,0;32347505,0;32466837,0;32582862,0;32698445,0;32867386,0;33020733,0;33127705,0;33230424
GRC;Total;10902022,0;10928072,0;10955142,0;10987316,0;11020366;11048466,0;11077839,0;11107017,0;11121344;11104900,0;11045010,0;10965209,0;10892415,0;10820883,0;10775966,0;10754679,0;10732877,0;10721584,0;10698597,0;10569211,0;10436881,0;10407358,0;10392589
GRC;Femmes;5514108,0;5527645,0;5542873,0;5561388,0;5582547;5603373,0;5625818,0;5648540,0;5664187;5666236,0;5649941,0;5625465,0;5601600,0;5574583,0;5553222,0;5539021,0;5523712,0;5509696,0;5492829,0;5413812,0;5334211,0;5313609,0;5293223
GRC;Hommes;5387914,0;5400427,0;5412269,0;5425928,0;5437819;5445093,0;5452021,0;5458477,0;5457157;5438664,0;5395069,0;5339744,0;5290815,0;5246300,0;5222744,0;5215658,0;5209165,0;5211888,0;5205768,0;5155399,0;5102670,0;5093749,0;5099366
IRL;Total;3917203,0;3979853,0;4045188,0;4133839,0;4232929;4375842,0;4485070,0;4533395,0;4554763;4574888,0;4593697,0;4614669,0;4645440,0;4687787,0;4739597,0;4810895,0;4884896,0;4958471,0;5029875,0;5074668,0;5183966,0;5281612,0;5380313
IRL;Femmes;1971039,0;2002939,0;2033274,0;2072008,0;2115607;2184567,0;2246489,0;2276053,0;2292582;2304382,0;2318680,0;2328538,0;2346399,0;2370069,0;2393051,0;2430068,0;2465390,0;2502165,0;2538097,0;2560645,0;2622012,0;2675442,0;2723077
