Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2737835,000;2757964,000;2774285,000;2779159,000;2786080,000;2792390,000;2803876,000;2810116,000;2819028,000;2837529,000;2843433,000;2853462,000;2866662,000;2884321,000;2910686,000;2921029,000;2927913,000;2933783,000;2937913,000;2937645,000;2969338,000;2978269,000;2981012,000
Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;769391,000;767651,000;779308,000;803119,000;822283,000;837622,000;846911,000;857683,000;863974,000;862913,000;876002,000;889423,000;903474,000;912807,000;922673,000;930942,000;940989,000;951924,000;965111,000;977477,000;995013,000;1011547,000;1031614,000
Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2750699,000;2769976,000;2783562,000;2790486,000;2798223,000;2801988,000;2810330,000;2814750,000;2821051,000;2837458,000;2845584,000;2859938,000;2878063,000;2909402,000;2955648,000;2966029,000;2972134,000;2977242,000;2983140,000;2987491,000;3011069,000;3033247,000;3036285,000
Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;479519,000;485555,000;503354,000;531761,000;555316,000;575295,000;589316,000;604456,000;614544,000;618696,000;636167,000;652383,000;669128,000;682062,000;694347,000;704933,000;717346,000;729882,000;743987,000;756220,000;772130,000;789152,000;809230,000
Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1248910,000;1253206,000;1282662,000;1334880,000;1377599,000;1412917,000;1436227,000;1462139,000;1478518,000;1481609,000;1512169,000;1541806,000;1572602,000;1594869,000;1617020,000;1635875,000;1658335,000;1681806,000;1709098,000;1733697,000;1767143,000;1800699,000;1840844,000
Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5488534,000;5527940,000;5557847,000;5569645,000;5584303,000;5594378,000;5614206,000;5624866,000;5640079,000;5674987,000;5689017,000;5713400,000;5744725,000;5793723,000;5866334,000;5887058,000;5900047,000;5911025,000;5921053,000;5925136,000;5980407,000;6011516,000;6017297,000
Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,237;12,327;12,690;13,301;13,807;14,254;14,553;14,887;15,098;15,143;15,490;15,771;16,031;16,150;16,167;16,307;16,509;16,721;16,962;17,168;17,322;17,544;17,891
Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,456;15,444;15,707;16,235;16,667;17,036;17,264;17,534;17,691;17,670;17,959;18,198;18,418;18,505;18,506;18,609;18,774;18,956;19,177;19,381;19,508;19,732;20,064
Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,488;18,385;18,556;19,013;19,376;19,674;19,834;20,047;20,153;20,071;20,309;20,515;20,701;20,767;20,768;20,837;20,966;21,120;21,323;21,529;21,626;21,859;22,177
Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;16,619;16,431;16,236;16,025;15,773;15,510;15,253;15,011;14,822;14,649;14,479;14,364;14,300;14,273;14,355;14,421;14,432;14,421;14,386;14,381;14,471;14,394;14,352
Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;15,723;15,561;15,387;15,194;14,972;14,738;14,503;14,270;14,091;13,928;13,770;13,669;13,617;13,612;13,716;13,781;13,797;13,788;13,766;13,771;13,837;13,783;13,741
Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;17,570;17,353;17,135;16,902;16,619;16,324;16,044;15,792;15,592;15,408;15,223;15,093;15,016;14,960;15,016;15,083;15,088;15,075;15,026;15,011;15,126;15,021;14,980
Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,193;70,321;70,175;69,797;69,574;69,422;69,403;69,321;69,309;69,449;69,287;69,136;68,953;68,890;68,817;68,611;68,403;68,204;68,012;67,822;67,551;67,434;67,129
Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,789;66,054;66,057;65,793;65,652;65,588;65,663;65,683;65,756;66,001;65,921;65,816;65,683;65,621;65,516;65,382;65,237;65,092;64,911;64,701;64,537;64,358;64,083
