Cde_Pays;Pays;Cde_Dépense;Dépense;Année;Montant
HRV;Croatie;GF0204;R et D concernant la défense;2002;0,000000
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2002;0,000000
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2002;0,000000
HRV;Croatie;GF0703;Services hospitaliers;2002;0,889070
HRV;Croatie;GF0505;RetD dans le domaine de la protection de l'environnement;2002;0,003290
HRV;Croatie;GF0201;Défense militaire;2002;0,396960
HRV;Croatie;GF0107;Opérations concernant la dette publique;2002;0,511440
HRV;Croatie;GF0705;RetD dans le domaine de la santé;2002;0,023420
HRV;Croatie;GF02;Défense nationale;2002;0,414660
HRV;Croatie;GF0403;Combustibles et énergie;2002;0,010740
HRV;Croatie;GF1005;Chômage;2002;0,183480
HRV;Croatie;GF0405;Transports;2002;1,345640
HRV;Croatie;GF0304;Administration pénitentiaire;2002;0,044170
HRV;Croatie;GF0103;Services généraux;2002;0,124820
HRV;Croatie;GF0604;Éclairage public;2002;0,022370
HRV;Croatie;GF0306;Ordre et sécurité publics n.c.a.;2002;0,038020
HRV;Croatie;GF0903;Enseignement postsecondaire non supérieur;2002;0,000300
HRV;Croatie;GF09;Enseignement;2002;1,777710
HRV;Croatie;GF1006;Logement;2002;0,032160
HRV;Croatie;GF0605;RetD dans le domaine du logement et des équipements collectifs;2002;0,010970
HRV;Croatie;GF0806;Loisirs, culture et culte n.c.a.;2002;0,029290
HRV;Croatie;GF0501;Gestion des déchets;2002;0,024020
HRV;Croatie;GF0602;Équipements collectifs;2002;0,150880
HRV;Croatie;GF0801;Services récréatifs et sportifs;2002;0,089810
HRV;Croatie;GF0704;Services de santé publique;2002;0,078840
HRV;Croatie;GF08;Loisirs, culture et cultes;2002;0,444970
HRV;Croatie;GF0702;Services ambulatoires;2002;0,383400
HRV;Croatie;GF0803;Services de radiodiffusion, de télévision et d'édition;2002;0,103970
HRV;Croatie;GF0402;Agriculture, sylviculture, pêche et chasse;2002;0,286980
HRV;Croatie;GF0305;RetD concernant l'ordre et la sécurité publics;2002;0,000920
HRV;Croatie;GF1007;Exclusion sociale n.c.a.;2002;0,020500
HRV;Croatie;GF05;Protection de l'environnement;2002;0,191740
HRV;Croatie;GF0407;Autres branches d'activité;2002;0,092370
HRV;Croatie;GF0301;Services de police;2002;0,351200
HRV;Croatie;GF0802;Services culturels;2002;0,161470
HRV;Croatie;GF01;Services généraux des administrations publiques;2002;1,048700
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2002;0,023530
HRV;Croatie;GF0804;Culte et autres services communautaires;2002;0,032220
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2002;0,058430
HRV;Croatie;GF1001;Maladie et invalidité;2002;0,807780
HRV;Croatie;GF0409;Affaires économiques n.c.a.;2002;0,088140
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;2002;0,755330
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2002;0,312950
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2002;0,296400
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;2002;0,010180
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;2002;0,045390
HRV;Croatie;GF1004;Famille et enfants;2002;0,537670
HRV;Croatie;GF0904;Enseignement supérieur;2002;0,477490
HRV;Croatie;GF0104;Recherche fondamentale;2002;0,044410
HRV;Croatie;GF0302;Services de protection civile;2002;0,104710
HRV;Croatie;GF0908;Enseignement n.c.a.;2002;0,065410
HRV;Croatie;GF0601;Logements;2002;0,065100
HRV;Croatie;GF10;Sécurité sociale et oeuvres sociales;2002;4,836340
HRV;Croatie;GF0905;Enseignement non défini par niveau;2002;0,007870
HRV;Croatie;GF0202;Défense civile;2002;0,000120
HRV;Croatie;GF04;Affaires économiques;2002;2,253420
HRV;Croatie;GF0105;RetD concernant des services généraux des administrations publiques;2002;0,042420
HRV;Croatie;GF0706;Santé n.c.a.;2002;0,121390
HRV;Croatie;GF0906;Services annexes à l'enseignement;2002;0,077830
HRV;Croatie;GF07;Santé;2002;1,744470
HRV;Croatie;GF0603;Alimentation en eau;2002;0,193560
HRV;Croatie;GF0406;Communications;2002;0,002880
HRV;Croatie;GF0502;Gestion des eaux usées;2002;0,041600
HRV;Croatie;GF0408;RetD concernant les affaires économiques;2002;0,075980
HRV;Croatie;GF06;Logement et développement collectif;2002;0,501300
HRV;Croatie;GF0404;Industries extractives et manufacturières, construction;2002;0,054300
HRV;Croatie;GF0303;Tribunaux;2002;0,164690
HRV;Croatie;GF0503;Lutte contre la pollution;2002;0,009290
HRV;Croatie;GF0205;Défense n.c.a.;2002;0,017580
HRV;Croatie;GF03;Ordre et sécurité publics;2002;0,703700
HRV;Croatie;GF0701;Produits, appareils et matériels médicaux;2002;0,248340
HRV;Croatie;GF0106;Services généraux des administrations publiques n.c.a.;2002;0,012540
HRV;Croatie;GF1009;Protection sociale n.c.a.;2002;0,030370
HRV;Croatie;GF1002;Vieillesse;2002;2,733350
HRV;Croatie;GF1003;Survivants;2002;0,480840
HRV;Croatie;GF0102;Aide économique extérieure;2002;0,000120
HRV;Croatie;GF0506;Protection de l'environnement n.c.a.;2002;0,090020
HRV;Croatie;GF0902;Enseignement secondaire;2002;0,348080
HRV;Croatie;GF0805;RetD dans le domaine des loisirs, de la culture et du culte;2002;0,028210
HRV;Croatie;GF0108;Transferts de caractère général entre administrations publiques;2003;0,000000
HRV;Croatie;GF0204;R et D concernant la défense;2003;0,000000
HRV;Croatie;GF0302;Services de protection civile;2003;0,113850
HRV;Croatie;GF0104;Recherche fondamentale;2003;0,046210
HRV;Croatie;GF0904;Enseignement supérieur;2003;0,476330
HRV;Croatie;GF1004;Famille et enfants;2003;0,584010
HRV;Croatie;GF0907;RetD dans le domaine de l'enseignement;2003;0,048670
HRV;Croatie;GF1008;RetD dans le domaine de la protection sociale;2003;0,009280
HRV;Croatie;GF0101;Organes exécutifs et législatifs, affaires finan., fiscales et étrangères;2003;0,367140
HRV;Croatie;GF0401;Tutelle de l'économie générale, des échanges et de l'emploi;2003;0,360880
HRV;Croatie;GF0901;Enseignement préélémentaire et primaire;2003;0,820610
HRV;Croatie;GF0409;Affaires économiques n.c.a.;2003;0,090610
HRV;Croatie;GF1001;Maladie et invalidité;2003;0,815770
HRV;Croatie;GF0606;Logement et équipements collectifs n.c.a.;2003;0,078250
HRV;Croatie;GF0804;Culte et autres services communautaires;2003;0,068880
HRV;Croatie;GF0504;Préservation de la diversité biologique et protection de la nature;2003;0,028300
HRV;Croatie;GF01;Services généraux des administrations publiques;2003;1,175880
HRV;Croatie;GF0802;Services culturels;2003;0,220010
HRV;Croatie;GF0301;Services de police;2003;0,373900
HRV;Croatie;GF0407;Autres branches d'activité;2003;0,152650
HRV;Croatie;GF05;Protection de l'environnement;2003;0,226230
HRV;Croatie;GF0203;Aide militaire à des pays étrangers;2003;0,000000
