Année;Cde_Transaction;Transaction;Cde_Pays;Pays;Cde_Devise;Devise;Montant
2002;D995;Transferts en capital des administrations publiques vers les secteurs concernés correspondant à des impôts et contributions sociales notifiés mais non susceptible d'être perçus;AUT;Autriche;EUR;Euro;0,00
2002;D51D;Taxes sur les gains des loteries et des paris;AUT;Autriche;EUR;Euro;0,00
2002;D2122F;Bénéfices des monopoles sur l'importation;AUT;Autriche;EUR;Euro;0,00
2002;D995FS;Cotisations sociales effectives à la charge des travailleurs indépendants dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D59A;Impôts courants sur le capital;AUT;Autriche;EUR;Euro;0,00
2002;D995G;Impôts en capital dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D995D;Autres impôts courants dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D59E;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2002;D51C1;Impôts sur les gains de détention des personnes physiques ou des ménages;AUT;Autriche;EUR;Euro;0,00
2002;D995F;Cotisations sociales effectives à la charge des ménages dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D2122D;Impôts généraux sur les ventes;AUT;Autriche;EUR;Euro;0,00
2002;D61SC;Rémunération du service des régimes d'assurance sociale (-);AUT;Autriche;EUR;Euro;0,00
2002;D995FE;Cotisations sociales effectives à la charge des salariés dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D59C;Impôts sur la dépense;AUT;Autriche;EUR;Euro;0,00
2002;D51C2;Impôts sur les gains de détention des sociétés;AUT;Autriche;EUR;Euro;0,00
2002;D91C;Autres impôts en capital n.c.a.;AUT;Autriche;EUR;Euro;0,00
2002;D29D;Impôts sur les transactions internationales;AUT;Autriche;EUR;Euro;0,00
2002;D51C3;Autres impôts sur les gains de détention n.c.a.;AUT;Autriche;EUR;Euro;0,00
2002;D995FN;Cotisations sociales effectives à la charge des personnes n'occupant pas d'emploi dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0,00
2002;D6142;Suppléments de cotisations autres que de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2002;D995B;Autres impôts sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D995C;Impôts sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D2122B;Montants compensatoires monétaires prélevés à l'importation;AUT;Autriche;EUR;Euro;0,00
2002;D29F;Impôts sur les émissions polluantes;AUT;Autriche;EUR;Euro;0,00
2002;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0,00
2002;D214K;Droits sur les exportations et montants compensatoires monétaires prélevés à l'exportation;AUT;Autriche;EUR;Euro;0,00
2002;D2122A;Prélèvements sur les produits agricoles importés;AUT;Autriche;EUR;Euro;0,00
2002;D214I;Impôts généraux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0,00
2002;D29B;Impôts sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0,00
2002;D614;Suppléments de cotisations sociales à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2002;D91B;Prélèvements sur le capital;AUT;Autriche;EUR;Euro;0,00
2002;D995A;Impôts sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D59B;Impôts de capitation;AUT;Autriche;EUR;Euro;0,00
2002;D29E;Autorisations d'exercer des activités commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0,00
2002;D59D;Paiements effectués par les ménages en vue de l’obtention de licences;AUT;Autriche;EUR;Euro;0,00
2002;D214J;Bénéfices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0,00
2002;D6141;Suppléments de cotisations de pension à la charge des ménages;AUT;Autriche;EUR;Euro;0,00
2002;D995E;Cotisations sociales effectives à la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0,00
2002;D51C;Impôts sur les gains de détention;AUT;Autriche;EUR;Euro;0,00
2002;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0,00
2002;D613CSN;Cotisations sociales obligatoires à la charge des travailleurs indépendants et des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;3957,75
2002;D29A;Impôts sur les terrains, bâtiments et autres constructions;AUT;Autriche;EUR;Euro;555,85
2002;D21;Impôts sur les produits;AUT;Autriche;EUR;Euro;26256,92
2002;D214D;Taxes à l'immatriculation des véhicules;AUT;Autriche;EUR;Euro;136,98
2002;D29G;Sous-compensation de la TVA (régime forfaitaire);AUT;Autriche;EUR;Euro;38,15
2002;D2122E;Impôts sur des services déterminés;AUT;Autriche;EUR;Euro;22,92
2002;D91;Impôts en capital;AUT;Autriche;EUR;Euro;148,08
2002;D51M;Impôts sur le revenu des personnes physiques ou des ménages y compris les gains de détention;AUT;Autriche;EUR;Euro;23314,40
2002;D5;Impôts courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;30963,81
2002;D613CN;Cotisations sociales effectives obligatoires à la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2395,63
2002;D613V;Cotisations sociales effectives volontaires des ménages;AUT;Autriche;EUR;Euro;213,54
2002;ODC;Produit total des impôts et cotisations sociales nettes (y compris cotisations sociales imputées), après déduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;99726,29
