Année;Cde_Pays;Total;Femmes;Hommes
2002;AUT;8080292,0;4161549,0;3918743,0
2003;AUT;8114402,0;4175339,0;3939063,0
2004;AUT;8166432,0;4199831,0;3966601,0
2005;AUT;8222090,0;4224101,0;3997989,0
2006;AUT;8265675,0;4243724,0;4021951,0
2007;AUT;8293654,0;4257489,0;4036165,0
2008;AUT;8319388,0;4270076,0;4049312,0
2009;AUT;8338752,0;4278322,0;4060430,0
2010;AUT;8357367,0;4287120,0;4070247,0
2011;AUT;8384901,0;4299237,0;4085664,0
2012;AUT;8420328,0;4313398,0;4106930,0
2013;AUT;8472176,0;4335521,0;4136655,0
2014;AUT;8538350,0;4364420,0;4173930,0
2015;AUT;8618709,0;4395426,0;4223283,0
2016;AUT;8737663,0;4442720,0;4294943,0
2017;AUT;8790624,0;4467649,0;4322975,0
2018;AUT;8833192,0;4488128,0;4345064,0
2019;AUT;8872344,0;4507152,0;4365192,0
2020;AUT;8912293,0;4526095,0;4386198,0
2021;AUT;8945279,0;4540354,0;4404925,0
2022;AUT;9058407,0;4600964,0;4457443,0
2023;AUT;9125730,0;4627659,0;4498071,0
2024;AUT;9174908,0;4651815,0;4523093,0
2002;BEL;10332786,0;5278201,0;5054585,0
2003;BEL;10376131,0;5299099,0;5077032,0
2004;BEL;10421136,0;5321888,0;5099248,0
2005;BEL;10478620,0;5351045,0;5127575,0
2006;BEL;10547956,0;5385342,0;5162614,0
2007;BEL;10624835,0;5422631,0;5202204,0
2008;BEL;10709108,0;5463280,0;5245828,0
2009;BEL;10796498,0;5506059,0;5290439,0
2010;BEL;10895591,0;5554362,0;5341229,0
2011;BEL;10993609,0;5601588,0;5392021,0
2012;BEL;11067748,0;5637105,0;5430643,0
2013;BEL;11125033,0;5664133,0;5460900,0
2014;BEL;11179778,0;5690077,0;5489701,0
2015;BEL;11238474,0;5717162,0;5521312,0
2016;BEL;11295003,0;5742234,0;5552769,0
2017;BEL;11349081,0;5766124,0;5582957,0
2018;BEL;11403740,0;5790674,0;5613066,0
2019;BEL;11462023,0;5817880,0;5644143,0
2020;BEL;11506938,0;5838303,0;5668635,0
2021;BEL;11552615,0;5859562,0;5693053,0
2022;BEL;11640788,0;5905629,0;5735159,0
2023;BEL;11730606,0;5951285,0;5779321,0
2024;BEL;11794601,0;5980979,0;5813622,0
2002;DEU;82488493,0;42178716,0;40309777,0
2003;DEU;82534175,0;42183725,0;40350450,0
2004;DEU;82516268,0;42161445,0;40354823,0
2005;DEU;82469421,0;42122629,0;40346792,0
2006;DEU;82376447,0;42055883,0;40320564,0
2007;DEU;82266373,0;41978642,0;40287731,0
2008;DEU;82110097,0;41880811,0;40229286,0
2009;DEU;81902308,0;41758360,0;40143948,0
2010;DEU;81776936,0;41668915,0;40108021,0
2011;DEU;80274981,0;41097710,0;39177271,0
2012;DEU;80425826,0;41120365,0;39305461,0
2013;DEU;80645605,0;41176655,0;39468950,0
2014;DEU;80982495,0;41286307,0;39696188,0
2015;DEU;81686608,0;41511818,0;40174790,0
2016;DEU;82348669,0;41743046,0;40605623,0
2017;DEU;82657000,0;41886659,0;40770341,0
2018;DEU;82905788,0;42000654,0;40905134,0
2019;DEU;83092956,0;42090809,0;41002147,0
