Année;Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;Valeur_Mesurée
2002;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2737835,000
2002;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;769391,000
2002;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2750699,000
2002;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;479519,000
2002;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1248910,000
2002;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5488534,000
2002;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,237
2002;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,456
2002;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,488
2002;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;16,619
2002;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;15,723
2002;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;17,570
2002;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,193
2002;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,789
2002;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,925
2003;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2757964,000
2003;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;767651,000
2003;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2769976,000
2003;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;485555,000
2003;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1253206,000
2003;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5527940,000
2003;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,327
2003;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,444
2003;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,385
2003;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;16,431
2003;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;15,561
2003;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;17,353
2003;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;70,321
2003;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;66,054
2003;Y15T64;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;68,125
2004;Y15T64;AUT;Autriche;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;2774285,000
2004;Y_GE65;AUT;Autriche;PS;Personnes;F;Sexe féminin;65 ans et plus;779308,000
2004;Y15T64;AUT;Autriche;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;2783562,000
2004;Y_GE65;AUT;Autriche;PS;Personnes;M;Sexe masculin;65 ans et plus;503354,000
2004;Y_GE65;AUT;Autriche;PS;Personnes;_T;Total;65 ans et plus;1282662,000
2004;Y15T64;AUT;Autriche;PS;Personnes;_T;Total;De 15 à 64 ans;5557847,000
2004;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,690
2004;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,707
2004;Y_GE65;AUT;Autriche;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,556
2004;Y_LT15;AUT;Autriche;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;16,236
